,geoid10,score10,se10
43121,36005023501,0.40004447,0.013091133
43122,36005023502,0.36626306,0.010895749
43123,36005023600,0.44125918,0.023139436
43124,36005023702,0.32619894,0.021140419
43125,36005023703,0.38919026,0.011100111
43126,36005023704,0.35678294,0.011741635
43127,36005023800,0.45035151,0.025534892
43128,36005023900,0.34912336,0.0083442284
43129,36005024000,0.3817085,0.016752908
43130,36005024100,0.38759416,0.010301773
43131,36005024300,0.35802507,0.010393984
43132,36005024400,0.55141675,0.04045346
43133,36005024501,0.34753361,0.011473088
43134,36005024502,0.38140619,0.013750123
43135,36005024600,0.50732952,0.033614591
43136,36005024700,0.35736778,0.017696073
43137,36005024800,0.52595395,0.030978536
43138,36005025000,0.48875949,0.041573338
43139,36005025100,0.3770043,0.011032363
43140,36005025200,0.52650166,0.038056381
43141,36005025300,0.38265544,0.010048483
43142,36005025400,0.54393941,0.051627465
43143,36005025500,0.38106593,0.010078395
43144,36005025600,0.47524416,0.034511328
43145,36005025700,0.41694382,0.019876713
43146,36005026100,0.3678304,0.033569463
43147,36005026300,0.37514696,0.01054646
43148,36005026400,0.47098124,0.02648237
43149,36005026500,0.40937424,0.010522585
43150,36005026601,0.49314162,0.031923573
43151,36005026602,0.46829396,0.021437606
43152,36005026701,0.38337734,0.013704647
43153,36005026702,0.40769529,0.010249901
43154,36005026900,0.38743109,0.014445191
43155,36005027300,0.4003984,0.009106637
43156,36005027401,0.59390801,0.02949691
43157,36005027402,0.55758768,0.038582373
43158,36005027700,0.41997465,0.013261233
43159,36005027900,0.45159945,0.01549798
43160,36005028100,0.45078534,0.026794238
43161,36005028300,0.40173256,0.015664086
43163,36005028500,0.50413495,0.026082972
43164,36005028600,0.43726525,0.05710385
43165,36005028700,0.4808079,0.022366267
43166,36005028800,0.58223498,0.035624433
43167,36005028900,0.48250377,0.018258875
43168,36005029301,0.56031692,0.066896446
43169,36005029302,0.47909418,0.034791164
43170,36005029500,0.53909886,0.029039579
43171,36005029600,0.44043648,0.035209972
43172,36005029700,0.58217365,0.033019867
43173,36005030000,0.46690649,0.022568034
43174,36005030100,0.48724058,0.08798293
43175,36005030200,0.40553704,0.013487319
43176,36005030701,0.49200186,0.037797686
43177,36005030900,0.51226199,0.051322039
43178,36005031000,0.54045111,0.037413869
43179,36005031200,0.49495214,0.044874955
43180,36005031400,0.60382378,0.041162882
43181,36005031600,0.51238579,0.049074136
43182,36005031800,0.49185896,0.044115763
43184,36005032300,0.52165341,0.031493027
43185,36005032400,0.39418197,0.019101799
43186,36005032600,0.52930713,0.030980483
43187,36005032800,0.44396415,0.017498575
43188,36005033000,0.46978647,0.0158624
43189,36005033201,0.4386524,0.019959176
43190,36005033202,0.40032768,0.014715883
43191,36005033400,0.40534517,0.069946416
43192,36005033500,0.47615379,0.061498016
43193,36005033600,0.38057169,0.011053562
43194,36005033700,0.53145707,0.043691307
43195,36005033800,0.39512467,0.013629794
43196,36005034000,0.41183069,0.013766921
43197,36005034200,0.44197485,0.028225865
43198,36005034300,0.44628078,0.046094682
43199,36005034400,0.40502861,0.032104194
43200,36005034500,0.49538755,0.037790895
43201,36005034800,0.37463301,0.012077788
43202,36005035000,0.39635962,0.026474582
43203,36005035100,0.47031415,0.030353712
43204,36005035600,0.39485767,0.028640104
43205,36005035800,0.38724333,0.012795501
43206,36005035900,0.38486728,0.022242283
43207,36005036000,0.41443625,0.026221991
43208,36005036100,0.37295941,0.011104188
43209,36005036300,0.3721979,0.010218578
43210,36005036400,0.36355472,0.017471481
43211,36005036501,0.3513599,0.012585384
43212,36005036502,0.37202606,0.020298712
43213,36005036700,0.36003864,0.018643927
43214,36005036800,0.36115217,0.023732927
43215,36005036901,0.36541206,0.019558504
43216,36005036902,0.32455707,0.014324523
43217,36005037000,0.39494121,0.025597112
43218,36005037100,0.3549892,0.012567701
43219,36005037200,0.37920356,0.021760523
43220,36005037300,0.36850148,0.011676126
43221,36005037400,0.36686495,0.013353708
43222,36005037504,0.34953097,0.01574911
43223,36005037600,0.34370273,0.017407831
43224,36005037800,0.38001391,0.016119927
43225,36005037900,0.36088622,0.0098873358
43226,36005038000,0.37953576,0.01435711
43227,36005038100,0.38430941,0.010078527
43228,36005038200,0.39121413,0.018980879
43229,36005038301,0.35591635,0.011018095
43230,36005038302,0.34923595,0.010282543
43231,36005038500,0.40325588,0.014147236
43232,36005038600,0.38187012,0.0093507357
43233,36005038700,0.36783937,0.015300934
43234,36005038800,0.413349,0.01961563
43235,36005038900,0.41537762,0.016340142
43236,36005039000,0.36486509,0.016077263
43237,36005039100,0.37216642,0.012331536
43238,36005039200,0.41207245,0.021945857
43239,36005039300,0.35115626,0.0091815395
43240,36005039400,0.40068975,0.012803151
43241,36005039500,0.33052555,0.01302171
43242,36005039600,0.38124779,0.015641434
43243,36005039700,0.36211658,0.021519866
43244,36005039800,0.36095494,0.017909473
43245,36005039901,0.39668307,0.010644075
43246,36005039902,0.3940115,0.011564027
43247,36005040100,0.38996318,0.011687417
43248,36005040302,0.40214938,0.01272242
43249,36005040303,0.40765741,0.0119508
43250,36005040304,0.38867912,0.01210127
43251,36005040400,0.38433334,0.019260677
43252,36005040501,0.40550089,0.01225897
43253,36005040502,0.39001763,0.0096206767
43254,36005040600,0.40548351,0.015122267
43255,36005040701,0.38973302,0.014944513
43256,36005040702,0.42355296,0.011356632
43257,36005040800,0.40647772,0.01340542
43258,36005040900,0.43798777,0.023802588
43259,36005041100,0.41768557,0.019441348
43260,36005041300,0.43168834,0.012007561
43261,36005041400,0.43867844,0.015120159
43262,36005041500,0.40909389,0.013403626
43263,36005041800,0.41566336,0.015244927
43264,36005041900,0.4363876,0.012686704
43265,36005042000,0.4172172,0.015120663
43266,36005042100,0.39293092,0.012099534
43267,36005042200,0.41136345,0.018207673
43268,36005042300,0.43332246,0.017367829
43269,36005042400,0.41183522,0.020954287
43270,36005042500,0.43006057,0.013419934
43271,36005042600,0.40082774,0.014013828
43272,36005042800,0.40532714,0.024363354
43273,36005042901,0.44116801,0.017511819
43274,36005042902,0.42445785,0.015824772
43275,36005043000,0.35252932,0.017605523
43276,36005043100,0.3939108,0.0089798542
43277,36005043400,0.40060461,0.017135225
43279,36005043600,0.44708616,0.024592869
43280,36005044200,0.41174185,0.016288308
43281,36005044400,0.42450264,0.018487798
43282,36005044800,0.39558199,0.026256764
43283,36005044901,0.62080008,0.053166553
43284,36005044902,0.52209467,0.050647985
43285,36005045101,0.51190293,0.052247897
43286,36005045102,0.57911444,0.065408342
43287,36005045600,0.44525525,0.024543084
43288,36005045800,0.34864691,0.011123249
43289,36005046000,0.3752712,0.018383551
43290,36005046201,0.3851954,0.0082022045
43291,36005046202,0.40804064,0.012190636
43292,36005048400,0.4201358,0.019559275
43294,36005051600,0.56923342,0.034481149
43955,36047000100,0.39511856,0.039719891
43956,36047000200,0.42996398,0.027856212
43957,36047000301,0.65643263,0.056394823
43958,36047000501,0.28551778,0.078196019
43959,36047000502,0.45167717,0.061641712
43960,36047000700,0.49998406,0.056770597
43961,36047000900,0.46184716,0.030987803
43962,36047001100,0.35215193,0.076538585
43963,36047001300,0.39724079,0.062389251
43964,36047001500,0.32877222,0.013197217
43965,36047001800,0.30056003,0.092282221
43966,36047002000,0.43307212,0.02365889
43967,36047002100,0.44846052,0.063620418
43968,36047002200,0.45927101,0.018751601
43969,36047002300,0.31121796,0.010534666
43970,36047002901,0.32130691,0.012647063
43971,36047003000,0.59918749,0.046783503
43972,36047003100,0.49315724,0.029695308
43973,36047003300,0.3947725,0.033337008
43974,36047003400,0.5110234,0.03289517
43975,36047003500,0.36567086,0.034296568
43976,36047003600,0.50905746,0.024278261
43977,36047003700,0.35287625,0.06435243
43978,36047003800,0.60581845,0.050139904
43979,36047003900,0.38954762,0.027567409
